,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack FPR@95%TPR,AugmentationAttack FPR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,GapAttack Precision,GapAttack Recall,GapAttack AUROC,GapAttack AUPR,GapAttack FPR@95%TPR,GapAttack FPR,GapAttack TP_MMPS,GapAttack FP_MMPS,GapAttack FN_MMPS,GapAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack FPR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS
AFHQ Cats,0,0,0,0,0,0,0,0.9298,0,0,0,0,0,0,0,0,0,0.9611,0,0,0,0,0,0,0,0,0,0.9263,0,0
AFHQ Dogs,0,0,0,0,0,0,0,0.9282,0,0,0,0,0,0,0,0,0,0.9611,0,0,0,0,0,0,0,0,0,0.9353,0,0
CIFAR-100,0,0,0,0,0,0,0,0.9274,0,0,0,0,0,0,0,0,0,0.9611,0,0,0,0,0,0,0,0,0,0.9314,0,0
Fake CIFAR-10,0,0,0,0,0,0,0,0.9248,0,0,0,0,0,0,0,0,0,0.9611,0,0,0,0,0,0,0,0,0,0.929,0,0
No Normalization,0,0,0,0,0,0,0,0.9316,0,0,0,0,0,0,0,0,0,0.9611,0,0,0,0,0,0,0,0,0,0.9316,0,0
Original,0,0,0,0,0,0,0,0.9261,0,0,0,0,0,0,0,0,0,0.9611,0,0,0,0,0,0,0,0,0,0.9286,0,0
Permuted,0,0,0,0,0,0,0,0.9261,0,0,0,0,0,0,0,0,0,0.9611,0,0,0,0,0,0,0,0,0,0.9286,0,0
Scaled,0,0,0,0,0,0,0,0.9274,0,0,0,0,0,0,0,0,0,0.9611,0,0,0,0,0,0,0,0,0,0.9314,0,0
Stanford Dogs,0,0,0,0,0,0,0,0.9318,0,0,0,0,0,0,0,0,0,0.9611,0,0,0,0,0,0,0,0,0,0.9284,0,0
STL-10,0,0,0,0,0,0,0,0.9285,0,0,0,0,0,0,0,0,0,0.9611,0,0,0,0,0,0,0,0,0,0.9307,0,0
SVHN,0,0,0,0,0,0,0,0.9247,0,0,0,0,0,0,0,0,0,0.9611,0,0,0,0,0,0,0,0,0,0.9281,0,0
